No.,COMPANY,PRODUCT NAME,TYPE OF PRODUCT,GUARANTEED ANALYSIS,TARGET CROP/S,REGISTRATION NO.,EXPIRY DATE
1414,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8378,"July 27, 2027"
1415,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8380,"July 27, 2027"
1416,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-7279,"August 06, 2027"
1417,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Di-Ammonium Phosphate,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-7268,"July 30, 2027"
1418,"Modern Time Enterprises, Inc.",DDDD Planters Choice Di-Ammonium Phosphate,Inorganic Fertilizer,"N=15%, P2O5=45%",All Crops,1-1IF-8449,"September 14, 2027"
1419,"Modern Time Enterprises, Inc.",DDDD Planters Choice Ammonium Sulphate,Inorganic Fertilizer,N=20.5%,All Crops,1-1IF-8434,"September 07, 2027"
1420,"Modern Time Enterprises, Inc.",DDDD Planters Choice Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8470,"September 24, 2027"
1421,"Modern Time Enterprises, Inc.",DDDD Planters Choice Complete NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8467,"September 24, 2027"
1422,"Modern Time Enterprises, Inc.",DDDD Planters Choice Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8465,"September 24, 2027"
1423,"Modern Time Enterprises, Inc.",DDDD Planters Choice Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8471,"September 24, 2027"
1424,"Modern Time Enterprises, Inc.",DDDD Planters Choice Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8466,"September 24, 2027"
1425,"Modern Time Enterprises, Inc.",DDDD Planters Choice Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8450,"September 14, 2027"
1426,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8394,"August 04, 2027"
1427,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8483,"October 07, 2027"
1428,"Modern Time Enterprises, Inc.",DDDD Planter's Choice NP 16-20,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9538,"August 09, 2027"
1429,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Calcium Ammonium Nitrate,Inorganic Fertilizer,"N=15.1%, Ca=18%",All Crops,1-1IF-9571,"October 01, 2027"
1430,"Modern Time Enterprises, Inc.",DDDD Planters Choice Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9583,"October 15, 2027"
1431,"Modern Time Enterprises, Inc.",DDDD Planter's Choice NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9608,"November 12, 2027"
1432,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Di-Ammonium Phosphate,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-9612,"November 12, 2027"
1433,"Modern Time Enterprises, Inc.",DDDD Planters Choice NPK 17-7-17,Inorganic Fertilizer,"N=17%, P2O5=7%, K2O=17%",All Crops,1-1IF-9628,"November 25, 2027"
1434,"Modern Time Enterprises, Inc.",DDDD Planters Choice NK 42-0-5,Inorganic Fertilizer,"N=42%, K2O=5%",All Crops,1-1IF-9655,"December 17, 2027"
1435,"Modern Time Enterprises, Inc.",DDDD Planters Choice NPK 14-14-15,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=15%",All Crops,1-1IF-9656,"December 17, 2027"
1436,"Modern Time Enterprises, Inc.",DDDD Planters Choice NPK 14-14-15,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=15%",All Crops,1-1IF-9660,"December 18, 2027"
1437,"Modern Time Enterprises, Inc.",DDDD Planters Choice NPK 14-14-15,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=15%",All Crops,1-1IF-9661,"December 18, 2027"
1438,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Magnesium Oxide,Inorganic Fertilizer,MgO=54%,All Crops,1-1IF-8442,"September 13, 2027"
1439,"Modern Time Enterprises, Inc.",DDDD Planter's Choice NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-4111,"October 26, 2027"
1440,"Modern Time Enterprises, Inc.",DDDD Planter's Choice NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8541,"November 24, 2027"
1441,"Modern Time Enterprises, Inc.",DDDD Planters Choice Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9759,"May 16, 2028"
1442,"Modern Time Enterprises, Inc.",DDDD Planters Choice NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8708,"May 12, 2028"
1443,"Modern Time Enterprises, Inc.",DDDD Planter's Choice NPK 16-6-21+4S+0.02B+15Cl,Inorganic Fertilizer,"N=16%, P2O5=6%, K2O=21%, S=4%, B=0.02%, Cl=15%",All Crops,1-1IF-7433,"January 18, 2028"
1444,"Modern Time Enterprises, Inc.",DDDD Planters Choice Calcium Nitrate,Inorganic Fertilizer,"N=15.5%, CaO=26%",All Crops,1-1IF-9785,"June 04, 2028"
1445,"Modern Time Enterprises, Inc.",DDDD Planter's Choice Di-Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=45%",All Crops,1-1IF-8494,"October 15, 2027"
1446,"Modern Time Enterprises, Inc.",DDDD Planter's Choice NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8496,"October 15, 2027"
1447,"Modern Time Enterprises, Inc.",DDDD Planters Choice Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8495,"October 15, 2027"
1448,"Modern Time Enterprises, Inc.",DDDD Planters Choice Calcium Ammonium Nitrate,Inorganic Fertilizer,"N=15.5% min., Nitrate Nitrogen=14.4% min., Ammonium Nitrogen=1.1% min., Ca=18.5% min.",All Crops,1-1IF-9669,"December 26, 2027"
1449,"Modern Time Enterprises, Inc.",DDDD Planters Choice Phosphoric Acid,Inorganic Fertilizer,H3PO4= 85%,All Crops,1-1IF-9664,"December 23, 2027"
1450,"Modern Time Enterprises, Inc.",DDDD Planters Choice Ammonium Chloride,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9665,"December 23, 2027"
1451,"Modern Time Enterprises, Inc.",DDDD Planters Choice NPK 14-14-14+8S+10CL,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%, S=8%, Cl=10%",All Crops,1-1IF-9666,"December 23, 2027"
1452,"Modern Time Enterprises, Inc.",DDDD Planters Choice NPK 14-14-14+8S+10Cl,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%, S=8%, Cl=10%",All Crops,1-1IF-9667,"December 23, 2027"
1453,"Modern Time Enterprises, Inc.",DDDD Planters Choice Phosphoric Acid,Inorganic Fertilizer,H3PO4= 85%,All Crops,1-1IF-9672,"December 27, 2027"
1454,"Modern Time Enterprises, Inc.",DDDD Planters Choice Di-Ammonium Phosphate,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-9796,"June 16, 2028"
1455,"Modern Time Enterprises, Inc.",DDDD Planters Choice Di-Ammonium Phosphate,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-9807,"June 26, 2028"
1456,"Monarch Agricultural Products, Inc.",Nevirol 60 WP,Inorganic Fertilizer,N-phenylphthalamic acid= 60% min. w/w,Mango & Tomato,1-1IF-1179,"July 15, 2026"
1457,MPPK Agriventures Inc.,MP Gold,Inorganic Fertilizer,"N=2%, P2O5=3%, K2O=5%",All Crops,1-1IF-9601,"November 27, 2027"
1458,MPPK Agriventures Inc.,MPJ Gold+,Biofertilizer,Bacillus subtilis=1x108 cfu/ml,All Crops,1-7IF-0096,"November 27, 2027"
1459,MRTECH DYNAMICS AND VENTURES OPC,FULVIGOLD,Biostimulant,Fulvic Acid = 5.2%,All Crops,1-7LF-0091,"August 14, 2027"
1460,Newman Chemicals Corporation,Rock Phosphate,Inorganic Fertilizer,P2O5=29.5%,All Crops,1-1IF-3639,"April 16, 2026"
1461,Newman Chemicals Corporation,B15 (Borax Pentahydrate),Inorganic Fertilizer,B=14.6%,All Crops,1-1IF-7673,"August 05, 2025"
1462,Newman Chemicals Corporation,B17 (Boric Acid),Inorganic Fertilizer,B=17%,All Crops,1-1IF-7674,"August 05, 2025"
1463,Newman Chemicals Corporation,B20 (Di-Sodium Octoborate Tetrahydrate),Inorganic Fertilizer,B=20.5%,All Crops,1-1IF-7675,"August 05, 2025"
1464,Newman Chemicals Corporation,B11 (Borax Decahydrate),Inorganic Fertilizer,B=10.5%,All Crops,1-1IF-7676,"August 05, 2025"
1465,Newman Chemicals Corporation,Magnesium Sulphate Monohydrate-Powder,Inorganic Fertilizer,Mg=16%,All Crops,1-1IF-7739,"October 17, 2025"
1466,Newman Chemicals Corporation,Magnesium Sulphate Monohydrate-Granular,Inorganic Fertilizer,Mg=16%,All Crops,1-1IF-7740,"October 17, 2025"
1467,Newman Chemicals Corporation,Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-7741,"October 17, 2025"
1468,Newman Chemicals Corporation,Mono Ammonium Phosphate,Inorganic Fertilizer,"N= 12%, P2O5= 60%",All Crops,1-1IF-3673,"July 18, 2026"
1469,Newman Chemicals Corporation,Ferrous Sulphate Heptahydrate,Inorganic Fertilizer,Fe= 19%,All Crops,1-1IF-3671,"July 18, 2026"
1470,Newman Chemicals Corporation,Calcium Chloride Flakes,Inorganic Fertilizer,CaCl2= 74%,"Banana, Pineapple, All Crops",1-1IF-3610,"March 07, 2026"
1471,Newman Chemicals Corporation,Potassium Hydroxide Solution 20%- K Diffuse,Raw Material,KOH=20%,Raw Material,1-6IF-1563,"February 20, 2027"
1472,Newman Chemicals Corporation,Phosphoric Acid,Inorganic Fertilizer,H3PO4= 85%,All Crops,1-1IF-8129,"December 09, 2026"
1473,Newman Chemicals Corporation,Phosphorous Acid,Inorganic Fertilizer,H3PO4= 99%,All Crops,1-1IF-8130,"December 09, 2026"
1474,Newman Chemicals Corporation,Magnesium Sulfate Heptahydrate,Inorganic Fertilizer,MgO=16%,All Crops,1-1IF-8255,"April 20, 2027"
1475,Newman Chemicals Corporation,Potassium Sulfate,Inorganic Fertilizer,"K2O=52%, S=17.66%",All Crops,1-1IF-9506,"July 10, 2027"
1476,Newman Chemicals Corporation,Unisus (Liquid Ca-B),Inorganic Fertilizer,"CaO=10%, B=3%",All Crops,1-1IF-9507,"July 10, 2027"
1477,Newman Chemicals Corporation,Ferrous Sulphate Monohydrate,Inorganic Fertilizer,Fe=30%,All Crops,1-1IF-7273,"July 31, 2027"
1478,Newman Chemicals Corporation,Magnesium Sulphate Anhydrous,Inorganic Fertilizer,Mg=20%,"Banana, Pineapple, Palm Oil & Sugarcane",1-1IF-7376,"November 14, 2027"
1479,Newman Chemicals Corporation,Actibor 15G,Inorganic Fertilizer,B=15%,All Crops,1-1IF-9694,"March 12, 2028"
1480,Newman Chemicals Corporation,Potassium Silicate,Inorganic Fertilizer,"K2O=10%, SiO2=20%",All Crops,1-1IF-8454,"September 15, 2027"
1481,Newman Chemicals Corporation,Gypsum Thunder Cal,Inorganic Fertilizer,"Ca=21%, S=17%",All Crops,1-1IF-4185,"February 02, 2028"
1482,Newman Chemicals Corporation,Triple Super Phosphate,Inorganic Fertilizer,P2O5=46%,All Crops,1-1IF-8685,"April 26, 2028"
1483,Newman Chemicals Corporation,Gypsum Thunder Max,Inorganic Fertilizer,"Ca=21%, MgO=0.77%, S=16.30%",All Crops,1-1IF-9758,"May 27, 2028"
1484,Newman Chemicals Corporation,Gypsum Cal Star,Inorganic Fertilizer,"Ca=21%, S=17%","Annual, Biennial and Perennial Industrial Crops",1-1IF-7510,"March 26, 2028"
1485,Nexchem Corporation,Cropnex 20-20-20+ME,Inorganic Fertilizer,"N=20%, P2O5=20%, K2O=20%, MgO=0.02%, Zn=0.02%, Cu= 0.02%, B=0.0007%, Mo=0.001%",All Crops,1-1IF-0865-TPA,"November 08, 2026"
1486,Nexchem Corporation,Cropnex 15-15-30+ME,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%, MgO=0.04%, Fe=0.018%, Mn= 0.018%, Cu=0.006%, Zn=0.006%, B=0.002%, Mo=0.0004%",All Crops,1-1IF-0866-TPA,"November 08, 2026"
1487,NS Northern Organic Fertilizer Inc.,Multi Stem,Inorganic Fertilizer,"N=10.17%, P2O5=0.21%, K2O=0.23%",All Crops,1-1IF-0480-TPA,"June 18, 2026"
1488,NS Northern Organic Fertilizer Inc.,NS Cropwell Tuber Sizer 5-5-45,Inorganic Fertilizer,"N= 5%, P2O5= 5%, K2O= 45%, Zn= 900 ppm, Mg= 1500 ppm, Fe= 300 ppm, Cu= 300 ppm, Bo= 300 ppm, Mn= 250 ppm",All Crops,1-1LF-6041,"January 08, 2027"
1489,NS Northern Organic Fertilizer Inc.,NS Cropwell Calcium-Boron,Inorganic Fertilizer,"Ca=6%w/v, B=2%w/v",All Crops,1-1LF-6000,"November 29, 2026"
1490,NS Northern Organic Fertilizer Inc.,Cropwell Flower Booster Calcium Ammonium Nitrate,Inorganic Fertilizer,"N=15.5%, Ca=19%",All Crops,1-1IF-0883-TPA,"May 29, 2026"
1491,NS Northern Organic Fertilizer Inc.,NS CROPWELL 20-20-20+ME,Inorganic Fertilizer,"N=20%, P=20%, K=20%, Zn=720 ppm, Fe=150 ppm, Cu=430 ppm, Mn=750 ppm, B=210 ppm",All Crops,1-1LF-7463,"February 01, 2028"
1492,NS Northern Organic Fertilizer Inc.,Cropwell Tuber Sizer,Inorganic Fertilizer,"N=5%, P2O5 =5%, K2O=45%",All Crops,1-1IF-0973-TPA,"November 12, 2027"
1493,Nutranta Inc.,SP Bentgrass Formula 28-8-18,Inorganic Fertilizer,"N=28%, P2O5=8%, K2O=18%",All Crops,1-1IF-7918,"March 16, 2026"
1494,Nutranta Inc.,Bermuda Grass Special 20-5-30,Inorganic Fertilizer,"N=20%, P2O5=5%, K2O=30%",All Crops,1-1IF-7939,"June 04, 2026"
1495,Nutranta Inc.,Summer Aid 25-0-25 with Umaxx,Inorganic Fertilizer,"N=25%, K2O=25%",All Crops,1-1IF-7940,"June 04, 2026"
1496,Nutranta Inc.,Rapture 4-0-4,Inorganic Fertilizer,"N= 4%, K2O= 4%, Fe= 12%",All Crops,1-1IF-7916,"March 16, 2026"
1497,Nutranta Inc.,SP All Purpose 20-20-20,Inorganic Fertilizer,"N= 20%, P2O5= 20%, K2O= 20%",All Crops,1-1IF-7994,"August 12, 2026"
1498,Nutranta Inc.,Simplot Sulfate 0-0-50,Inorganic Fertilizer,K2O= 50%,All Crops,1-1IF-6039,"December 22, 2026"
1499,Nutranta Inc.,SP Root Enhancer 12-31-14,Inorganic Fertilizer,"N=12%, P2O5=31%, K2O=14%",All Crops,1-1IF-7917,"March 16, 2026"
1500,Nutranta Inc.,Landscape Color 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-6026,"December 22, 2026"
1501,Nutranta Inc.,Extreme Green 16,Inorganic Fertilizer,"Fe= 16%, Mn= 4%, S= 12%",All Crops,1-1IF-8037,"September 21, 2026"
1502,Nutranta Inc.,Greens King 10-2-24,Inorganic Fertilizer,"N=10%, P2O5=2%, K2O=24%",All Crops,1-1IF-7052,"March 01, 2027"
1503,Nutranta Inc.,Micro Green 15-5-8,Inorganic Fertilizer,"N=15%, P2O5=5%, K2O=8%",All Crops,1-1IF-7051,"March 01, 2027"
1504,Nutranta Inc.,Quali-Pro Marvel-ous,Plant Growth Regulator,Trinexapac-ethyl=600-650 g/L,Turf Grass,1-5IP-1189,"April 07, 2026"
1505,Nutranta Inc.,Poly 22-5-10 with Gal-Xe-One Technology,Controlled Release Fertilizer,"N=22%, P2O5=5%, K2O=10%, S=10.50%, Fe=2.25%",All Crops,1-3IF-7434,"May 27, 2028"
1506,Nutranta Inc.,Mini Phos 8-30-15,Inorganic Fertilizer,"N=8%, P2O5=30%, K2O=15%",All Crops,1-1IF-8250,"April 12, 2027"
1507,Nutranta Inc.,Simplot Trugyp Gypsum,Inorganic Fertilizer,"CaSO4*2H2O=95% Ca=21%, S=17%",All Crops,1-1IF-7148,"May 08, 2027"
1508,Nutranta Inc.,Greens King 20-3-20,Inorganic Fertilizer,"N=20%, P2O5=3%, K2O=20%",All Crops,1-1IF-7054,"March 01, 2027"
1509,Nutranta Inc.,Simplot Ecogreen 5-3-2,Inorganic Fertilizer,"N=5%, P2O5=3%, K2O=2%",All Crops,1-1IF-9488,"June 20, 2027"
1510,Nutranta Inc.,Poly 23-5-10 with Gal-Xe One Technology,Controlled Release Fertilizer,"N=23%, P2O5=5%, K2O=10%, S=10.50%, Fe=1.80%, Mn=0.30%",All Crops,1-3IF-7426,"October 03, 2027"
1511,NutriHydro Fertilizer & Agri-Products Inc.,NH Iron Chelate Plus Trace Elements,Inorganic Fertilizer,"B=40 ppm, Cu=10 ppm, Fe= 450 ppm, Mn=80 ppm, Mo=250 ppm, Zn= 100 ppm",Leafy Vegetables & Fruit-Bearing Crops,1-1LF-9718,"March 28, 2028"
1512,NutriHydro Fertilizer & Agri-Products Inc.,NH Tomato CFF,Inorganic Fertilizer,"N=4%, P2O5=18%, K2O=38%, B= 1400 ppm, Cu= 160 ppm, Fe= 5200 ppm, Mn= 1400 ppm, Mo= 360 ppm, Zn= 1900 ppm",Fruit-Bearing Crops,1-1LF-9719,"March 28, 2028"
1513,NutriHydro Fertilizer & Agri-Products Inc.,NH Fruit-Bearing CFF,Inorganic Fertilizer,"N=4%, P2O5=18%, K2O=40%, B= 1300 ppm, Cu= 160 ppm, Fe= 5200 ppm, Mn= 1200 ppm, Mo= 330 ppm, Zn= 1700 ppm",Fruit-bearing Plants & Ornamental Plants,1-1LF-9748,"April 29, 2028"
1514,NutriHydro Fertilizer & Agri-Products Inc.,NH Lettuce Commercial Farm Formula,Inorganic Fertilizer,"N=4%, P2O5=18%, K2O=36%, B= 800 ppm, Cu= 180 ppm, Fe= 8000 ppm, Mn= 1000 ppm, Mo= 360 ppm, Zn= 2000 ppm",Lettuce,1-1LF-9753,"April 29, 2028"
1515,NutriHydro Fertilizer & Agri-Products Inc.,NH Fruit-Bearing Formula Bloom & Fruit Solution,Inorganic Fertilizer,"P2O5=5%, K2O=6.5%, B= 700 ppm, Cu= 30 ppm, Fe= 1500 ppm, Mn= 150 ppm, Mo= 10 ppm, Zn= 300 ppm",Fruit-bearing Plants & Ornamental Plants,1-1LF-9754,"April 29, 2028"
1516,NutriHydro Fertilizer & Agri-Products Inc.,NH Lettuce Formula Grow Solution,Inorganic Fertilizer,"N=9% w/v, Ca=11% w/v",Lettuce,1-1LF-9695,"March 12, 2028"
1517,NutriHydro Fertilizer & Agri-Products Inc.,NH Lettuce Formula Bloom Solution,Inorganic Fertilizer,"P2O5=5% w/v, K2O=7% w/v, B=200ppm, Cu=40ppm, Fe=1850ppm, Mn=200ppm, Mo=400ppm, Zn=400ppm",Lettuce,1-1LF-9696,"March 12, 2028"
1518,NutriHydro Fertilizer & Agri-Products Inc.,NH Fruit-Bearing Formula Grow Solution,Inorganic Fertilizer,"N=8% w/v, Ca=9% w/v",Fruit-bearing and Ornamental plants,1-1LF-9697,"March 12, 2028"
1519,"Nutriquest International, Inc.",Nutri Q Nutricote 18-6-8,Controlled Release Fertilizer,"N=18%, P2O5=6%, K2O=8%",All Crops,1-1IF-3742,"September 24, 2025"
1520,"Nutriquest International, Inc.",Nutri Q Nutricote 14-13-13,Controlled Release Fertilizer,"N=14%, P2O5=13%, K2O=13%",All Crops,1-1IF-3743,"September 24, 2025"
1521,"Nutriquest International, Inc.",Nutri Q Nutricote 16-10-10,Controlled Release Fertilizer,"N=16%, P2O5=10%, K2O=10%",All Crops,1-1IF-3798,"December 01, 2025"
1522,"Nutriquest International, Inc.",Nutri Q Nutricote 14-13-13,Controlled Release Fertilizer,"N=14%, P2O5=13%, K2O=13%",All Crops,1-3IF-7420,"April 11, 2026"
1523,"Nutriquest International, Inc.",Nutri Q Nutricote 18-6-8,Controlled Release Fertilizer,"N=18%, P2O5=6%, K2O=8%",All Crops,1-3IF-7421,"April 11, 2026"
1524,NVA Agri Trading,Excel-Pro,Inorganic Fertilizer,"N=6.62%, P2O5=3.69%, K2O=34.05%",All Crops,1-1LF-9333,"December 22, 2026"
1525,"Omya Chemical Merchants, Inc.",Calciprill - MI,Soil Conditioner,"CaCO3=90.19%, MgCO3=2.54%, CaO=50.54%",All Crops,1-4IF-1368,"November 20, 2027"
1526,"Omya Chemical Merchants, Inc.",Omya Magprill,Soil Conditioner,"Ca= 24% (CaCO3= 61%), Mg= 9% (MgO=15%)","Banana, Pineapple, Sugarcane, Rice, Corn, Vegetables",1-1IF-7473,"February 11, 2026"
1527,"Omya Chemical Merchants, Inc.",Omya Calciprill,Soil Conditioner,"Ca= 36% (CaCO3= 91%), Mg= 0.6% (MgO3=2%)","Banana, Pineapple, Sugarcane, Rice, Corn, Vegetables",1-1IF-7472,"February 11, 2026"
1528,Oracle Chem Corp.,Sili-Max Specialty Liquid Inorganic Fertilizer,Inorganic Fertilizer,SiO2=10% w/w,"Cowpea and other leguminous crops, Rice",1-4IF-1240,"April 07, 2028"
1529,Oracle Chem Corp.,Haifa Bonus 12-2-44,Inorganic Fertilizer,"N=12%, P2O5=2%, K2O=44%",All Crops,1-1IF-7257,"July 09, 2027"
1530,Oracle Chem Corp.,Calnimax,Inorganic Fertilizer,"N=8%, Ca=10%",All Crops,1-1IF-7910,"March 12, 2026"
1531,Oracle Chem Corp.,N-Maxx,Inorganic Foliar Fertilizer,N=30%,All Crops,1-1IF-7780,"November 22, 2025"
1532,Oracle Chem Corp.,Phos-Maxx,Inorganic Fertilizer,P2O5=50%,All Crops,1-1IF-7699,"September 04, 2025"
1533,Oracle Chem Corp.,ZAP,Soil Conditioner,"N=8%,S=1%,  Fe=0.10%, Mn=0.05%,  Zn=0.05%",LEGUMINOUS Crops,1-4IF-1286,"September 16, 2025"
1534,Oracle Chem Corp.,K-Maxx,Inorganic Fertilizer,K2O=40%,All Crops,1-1IF-7017,"February 06, 2028"
1535,Oracle Chem Corp.,Vitol Inorganic Fertilizer,Inorganic Fertilizer,"N=8% w/w, P2O5=16.0% w/w, K2O=4.0% w/w",All Crops,1-1IF-7913,"March 16, 2026"
1536,"Parafield Enterprises, Inc.",Alba Hypos Ammonium Chloride,Inorganic Fertilizer,N=25%,All Crops,1-1IF-1062,"March 22, 2026"
1537,"Parafield Enterprises, Inc.",Potassium Nitrate,Inorganic Fertilizer,"N=13%, K2O=46%",All Crops,1-1IF-1601,"March 22, 2026"
1538,"Parafield Enterprises, Inc.",Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-3615,"March 11, 2026"
1539,"Parafield Enterprises, Inc.",Borax Decahydrate,Inorganic Fertilizer,B=10.5-11.5%,Banana,1-1IF-4954,"August 25, 2026"
1540,"Parafield Enterprises, Inc.",Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn= 18-21%,All Crops,1-1IF-4881,"July 12, 2026"
1541,"Parafield Enterprises, Inc.",Alba Hypos Calcium Nitrate,Inorganic Fertilizer,"N= 14%, CaO= 24%",All Crops,1-1IF-8133,"December 09, 2026"
1542,"Parafield Enterprises, Inc.",Alba Hypos Urea,Inorganic Fertilizer,N= 46%,All Crops,1-1IF-9365,"January 31, 2027"
1543,"Parafield Enterprises, Inc.",Alba Hypos Brand Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-7218,"June 14, 2027"
1544,"Parafield Enterprises, Inc.",Alba Hypos Muriate of Potash,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-3962,"June 08, 2027"
1545,"Parafield Enterprises, Inc.",Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21.42%,All Crops,1-1IF-9452,"April 30, 2027"
1546,"Parafield Enterprises, Inc.",ALBA HYPOS NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8479,"October 01, 2027"
1547,"Parafield Enterprises, Inc.",ALBA HYPOS AMMONIUM SULPHATE,Inorganic Fertilizer,N=21%,All Crops,1-1IF-1229,"November 17, 2027"
1548,"Parafield Enterprises, Inc.",ALBA HYPOS 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8425,"September 02, 2027"
1549,PARJV GROSOLUTIONS MISCELLANEOUS CHEMICAL PRODUCTS MANUFACTURING,Gro Nutrient Bundle (Gro 1),Inorganic Fertilizer,"N=17.50% w/v, K2O=5.60 w/v%, Ca=4.10 w/v",Fruiting and Leafy Vegetables,1-1LF-9341,"January 15, 2027"
1550,PARJV GROSOLUTIONS MISCELLANEOUS CHEMICAL PRODUCTS MANUFACTURING,Gro Nutrient Bundle (GRO 2),Inorganic Fertilizer,"P2O5=2.80% w/v, Mg=0.93% w/v, Mn=0.01% w/v, Zn=0.003% w/v, B=0.008% w/v, Cu=0.0006% w/v",Fruiting and Leafy Vegetables,1-1LF-9342,"January 15, 2027"
1551,Parm-Tech Agri,Agri Rich,Inorganic Fertilizer,"N=1.23%, P2O5=0.35%, K2O=2.94%",All Crops,1-1LF-7264,"July 23, 2026"
1552,Peanecc Export Services Corporation,EnergyC Foliar Fertilizer,Inorganic Fertilizer,"MgO=4.5%, MnO=0.36%, Zn=0.65%, B2O3=0.70%, Mo=0.039%","Rice, Leafy and Fruiting Vegetables",1-1IF-3635,"April 11, 2027"
1553,Peg Agri-Tech Ventures Inc.,MagGREEN9,Inorganic Fertilizer,"N=0.19%, P2O5=0.11%, K2O=0.76%, Mg=0.086%, Ca=0.19%",Fruiting and Leafy Vegetables,1-1LF-7999,"August 20, 2027"
1554,Petbowe Trading Corporation,Muriate of Potash,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-8955,"January 31, 2026"
1555,Petbowe Trading Corporation,Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-8956,"January 31, 2026"
1556,Petbowe Trading Corporation,Kieserite Granule,Inorganic Fertilizer,MgO=27%,All Crops,1-1IF-8957,"January 31, 2026"
1557,Petbowe Trading Corporation,Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8980,"February 21, 2026"
1558,Petbowe Trading Corporation,Complete 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8981,"February 21, 2026"
1559,Petbowe Trading Corporation,Magnesium Sulphate Heptahydrate,Inorganic Fertilizer,Mg=9.7%,All Crops,1-1IF-8998,"March 06, 2026"
1560,Petbowe Trading Corporation,Di-Ammonium Phosphate,Inorganic Fertilizer,"N=16.50%, P2O5=46.50%",All Crops,1-1IF-9020,"March 06, 2026"
1561,Petbowe Trading Corporation,Citric Acid Anhydrous,Raw Material,Citric Acid=99.50%,Raw Material,1-6IF-1466,"December 26, 2025"
1562,Petbowe Trading Corporation,Kieserite Powder,Inorganic Fertilizer,MgO=27%,All Crops,1-1IF-9128,"June 27, 2026"
